policy,slowtrack_load_profile,frontend_profile,scenario_profile,module,n,mean_ms,median_ms,p25_ms,p75_ms,p95_ms,min_ms,max_ms
emotion_only,heavy_context,local_browser,chat_only,fasttrack_analysis_ms,4000,13.472,13.25,12.513,13.807,15.146,12.385,15.146
emotion_only,heavy_context,local_browser,chat_only,fasttrack_audio_lookup_ms,4000,1.69,1.62,1.443,2.036,2.046,1.341,2.046
emotion_only,heavy_context,local_browser,chat_only,frontend_audio_overhead_ms,4000,51.446,50.118,40.929,61.421,77.277,20.415,88.99
emotion_only,heavy_context,local_browser,chat_only,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,heavy_context,local_browser,chat_only,slowtrack_llm_ms,4000,3559.958,3580.742,3378.893,3759.376,4009.526,2591.596,4519.042
emotion_only,heavy_context,local_browser,chat_only,slowtrack_tts_ms,4000,1018.952,1013.635,948.881,1081.842,1191.385,742.284,1361.542
emotion_only,heavy_context,local_browser,donation_mix,donation_emotion_motion_ms,1810,0.012,0.011,0.01,0.014,0.014,0.01,0.014
emotion_only,heavy_context,local_browser,donation_mix,donation_readout_tts_ms,1810,484.777,446.238,446.238,509.413,558.604,427.54,558.604
emotion_only,heavy_context,local_browser,donation_mix,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,heavy_context,local_browser,donation_mix,fasttrack_analysis_ms,4000,13.491,13.25,12.513,14.666,15.146,12.385,15.146
emotion_only,heavy_context,local_browser,donation_mix,fasttrack_audio_lookup_ms,4000,1.691,1.62,1.443,2.036,2.046,1.341,2.046
emotion_only,heavy_context,local_browser,donation_mix,frontend_audio_overhead_ms,4000,51.849,50.406,41.163,61.986,77.392,20.858,89.703
emotion_only,heavy_context,local_browser,donation_mix,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,heavy_context,local_browser,donation_mix,slowtrack_llm_ms,4000,3556.703,3570.217,3377.209,3753.388,4001.447,2608.968,4567.414
emotion_only,heavy_context,local_browser,donation_mix,slowtrack_tts_ms,4000,1020.555,1016.835,951.313,1083.391,1192.409,671.942,1346.058
emotion_only,stress_context,backend_ready,chat_only,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,stress_context,backend_ready,chat_only,fasttrack_analysis_ms,4000,13.465,13.25,12.513,13.807,15.146,12.385,15.146
emotion_only,stress_context,backend_ready,chat_only,fasttrack_audio_lookup_ms,4000,1.701,1.781,1.474,2.036,2.046,1.341,2.046
emotion_only,stress_context,backend_ready,chat_only,frontend_audio_overhead_ms,4000,3.71,3.587,2.474,4.878,6.649,0.127,7.909
emotion_only,stress_context,backend_ready,chat_only,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,stress_context,backend_ready,chat_only,slowtrack_llm_ms,4000,5039.598,5059.713,4775.0,5319.524,5692.64,3626.872,6306.077
